"Word","Length","Freq_KF","Freq_HAL","Log_Freq_HAL"
"punsters","8","NULL","20","3.00"
"punter","6","NULL","222","5.40"
"punters","7","NULL","109","4.69"
"punting","7","NULL","134","4.90"
"punts","5","NULL","99","4.60"
"pupae","5","NULL","41","3.71"
"pupas","5","NULL","1","0.00"
"pupating","8","NULL","2","0.69"
"pupation","8","NULL","2","0.69"
"pupped","6","NULL","1","0.00"
"puppeteers","10","NULL","63","4.14"
"pupping","7","NULL","1","0.00"
"purblind","8","1","6","1.79"
"PURCELL","7","NULL","744","6.61"
"purchasable","11","NULL","65","4.17"
"purchaser","9","NULL","1123","7.02"
"purdah","6","1","5","1.61"
"PURDEW","6","NULL","0","0.00"
"PURDUE'S","8","NULL","112","4.72"
"pureblooded","11","NULL","0","0.00"
"purebreds","9","NULL","134","4.90"
"pureed","6","NULL","147","4.99"
"pureeing","8","NULL","6","1.79"
"purees","6","NULL","55","4.01"
"pureness","8","NULL","11","2.40"
"purer","5","NULL","165","5.11"
"purgatives","10","NULL","4","1.39"
"purgatorial","11","1","2","0.69"
"purgatories","11","NULL","6","1.79"
"purifications","13","NULL","25","3.22"
"purifies","8","NULL","44","3.78"
"puritanically","13","NULL","3","1.10"
"puritanism","10","NULL","60","4.09"
"purl","4","NULL","52","3.95"
"purled","6","NULL","0","0.00"
"purlieus","8","NULL","13","2.56"
"purling","7","NULL","4","1.39"
"purloin","7","1","8","2.08"
"purloined","9","NULL","54","3.99"
"purloining","10","NULL","5","1.61"
"purloins","8","NULL","1","0.00"
"purls","5","NULL","6","1.79"
"purpler","7","NULL","1","0.00"
"purples","7","NULL","89","4.49"
"purplest","8","NULL","1","0.00"
"PURPLING","8","NULL","3","1.10"
"purplish","8","1","136","4.91"
"purposelessly","13","NULL","1","0.00"
"purposelessness","15","NULL","7","1.95"
"purposing","9","NULL","2","0.69"
"PURPOSIVELY","11","NULL","1","0.00"
"purred","6","NULL","253","5.53"
"purrs","5","NULL","160","5.08"
"purser","6","1","43","3.76"
"pursers","7","NULL","5","1.61"
"PURSEWARDEN","11","NULL","1","0.00"
"pursing","7","NULL","41","3.71"
"pursy","5","NULL","1","0.00"
"PURTIEST","8","NULL","1","0.00"
"purulence","9","NULL","1","0.00"
"purulent","8","1","7","1.95"
"purulently","10","NULL","0","0.00"
"purvey","6","1","34","3.53"
"purveyance","10","NULL","4","1.39"
"purveyances","11","NULL","0","0.00"
"purveyed","8","NULL","10","2.30"
"purveying","9","NULL","10","2.30"
"purveys","7","NULL","6","1.79"
"purview","7","1","364","5.90"
"PURVIS","6","NULL","399","5.99"
"pushbike","8","NULL","2","0.69"
"pushbikes","9","NULL","1","0.00"
"pushcarts","9","NULL","8","2.08"
"pushchair","9","NULL","2","0.69"
"pushchairs","10","NULL","0","0.00"
"pusher","6","NULL","293","5.68"
"pushful","7","NULL","0","0.00"
"pushily","7","NULL","1","0.00"
"PUSHIN","6","NULL","67","4.20"
"pushiness","9","NULL","11","2.40"
"pushovers","9","NULL","16","2.77"
"pusillanimously","15","NULL","0","0.00"
"pusses","6","NULL","8","2.08"
"pussies","7","NULL","478","6.17"
"pusillanimity","13","1","2","0.69"
"pusillanimous","13","1","28","3.33"
"pussy","5","5","11282","9.33"
"pussycats","9","NULL","33","3.50"
"pussyfooted","11","NULL","0","0.00"
"pussyfooting","12","NULL","18","2.89"
"pussyfoots","10","NULL","1","0.00"
"pustules","8","NULL","18","2.89"
"PUTAINS","7","NULL","1","0.00"
"PUTAS","5","NULL","33","3.50"
"putative","8","1","468","6.15"
"putrefaction","12","1","45","3.81"
"putrefactive","12","NULL","2","0.69"
"putrefactively","14","NULL","0","0.00"
"putrefied","9","NULL","7","1.95"
"putrefies","9","NULL","4","1.39"
"putrefying","10","NULL","6","1.79"
"putrescence","11","NULL","225","5.42"
"putrescent","10","NULL","36","3.58"
"putridity","9","1","3","1.10"
"putsch","6","1","86","4.45"
"putsches","8","NULL","1","0.00"
"PUTTANA","7","NULL","2","0.69"
"puttee","6","1","0","0.00"
"puttees","7","NULL","4","1.39"
"puttered","8","NULL","6","1.79"
"putterer","8","NULL","0","0.00"
"putterers","9","NULL","4","1.39"
"putters","7","NULL","61","4.11"
"putti","5","NULL","4","1.39"
"puttied","7","NULL","8","2.08"
"putties","7","NULL","51","3.93"
"PUTTIN","6","NULL","232","5.45"
"putto","5","NULL","0","0.00"
"putts","5","NULL","350","5.86"
"puttying","8","NULL","5","1.61"
"puzzlers","8","NULL","37","3.61"
"PYE","3","NULL","164","5.10"
"pygmies","7","NULL","113","4.73"
"PYHRRIC","7","NULL","1","0.00"
"pyjama","6","NULL","31","3.43"
"PYKNOTIC","8","NULL","0","0.00"
"pylon","5","1","195","5.27"
"pylons","6","NULL","228","5.43"
"PYNTE","5","NULL","0","0.00"
"PYOCANEA","8","NULL","0","0.00"
"PYORRHEA","8","1","5","1.61"
"pyorrhoea","9","NULL","0","0.00"
"pyres","5","NULL","31","3.43"
"pyrexia","7","NULL","4","1.39"
"pyrites","7","NULL","2","0.69"
"pyromaniacs","11","NULL","4","1.39"
"PYROMETER","9","NULL","33","3.50"
"PYROMETERS","10","NULL","7","1.95"
"PYROPHOSPHATE","13","NULL","21","3.04"
"pyrotechnic","11","NULL","343","5.84"
"pyrotechnical","13","NULL","7","1.95"
"pyrotechnics","12","1","2172","7.68"
"pyrotechny","10","NULL","0","0.00"
"PYSCHIATRIST","12","NULL","5","1.61"
"pythons","7","NULL","275","5.62"
"pyx","3","1","24","3.18"
"pyxes","5","NULL","0","0.00"
"Qatar","5","NULL","278","5.63"
"Qatari","6","NULL","11","2.40"
"Qataris","7","NULL","0","0.00"
"QED","3","NULL","682","6.53"
"qty","3","NULL","8198","9.01"
"qu","2","NULL","1152","7.05"
"qua","3","NULL","5014","8.52"
"quacking","8","NULL","58","4.06"
"Quadragesima","12","NULL","4","1.39"
"quadrangles","11","NULL","32","3.47"
"quadrangular","12","1","17","2.83"
"quadrants","9","NULL","161","5.08"
"quadrate","8","NULL","3","1.10"
"quadrates","9","NULL","0","0.00"
"QUADRIC","7","NULL","31","3.43"
"quadrilaterals","14","NULL","20","3.00"
"quadrille","9","1","22","3.09"
"quadrilles","10","NULL","9","2.20"
"quadrillions","12","NULL","8","2.08"
"QUADRIPARTITE","13","1","1","0.00"
"quadroon","8","1","7","1.95"
"quadroons","9","NULL","2","0.69"
"quadrophonic","12","NULL","18","2.89"
"quadrophony","11","NULL","0","0.00"
"quadruped","9","1","59","4.08"
"quadrupeds","10","NULL","20","3.00"
"quadruples","10","NULL","32","3.47"
"quadruplets","11","NULL","13","2.56"
"quadruplicated","14","NULL","0","0.00"
"quadruplicates","14","NULL","1","0.00"
"quadruplicating","15","NULL","0","0.00"
"quadruply","9","NULL","1","0.00"
"quads","5","NULL","642","6.46"
"quaff","5","1","41","3.71"
"quaffed","7","NULL","26","3.26"
"quaffing","8","NULL","35","3.56"
"quaffs","6","NULL","5","1.61"
"quagga","6","NULL","9","2.20"
"quaggas","7","NULL","1","0.00"
"quagmires","9","NULL","7","1.95"
"quailed","7","NULL","7","1.95"
"quailing","8","NULL","4","1.39"
"quails","6","NULL","22","3.09"
"quainter","8","NULL","0","0.00"
"quaintest","9","NULL","10","2.30"
"quaintly","8","NULL","41","3.71"
"quaintness","10","NULL","4","1.39"
"quaked","6","NULL","33","3.50"
"QUAKERESS","9","NULL","1","0.00"
"quakes","6","NULL","330","5.80"
"qualifier","9","NULL","756","6.63"
"qualifiers","10","NULL","554","6.32"
"QUAM","4","NULL","104","4.64"
"quandaries","10","NULL","21","3.04"
"quango","6","NULL","26","3.26"
"quangos","7","NULL","13","2.56"
"quanta","6","NULL","1022","6.93"
"quantification","14","NULL","291","5.67"
"quantified","10","NULL","267","5.59"
"quantifies","10","NULL","91","4.51"
"quantifying","11","NULL","120","4.79"
"quarantined","11","NULL","139","4.93"
"quarantines","11","NULL","16","2.77"
"quarantining","12","NULL","25","3.22"
"quarks","6","NULL","481","6.18"
"quarrelled","10","NULL","14","2.64"
"quarrelling","11","NULL","34","3.53"
"quarried","8","NULL","11","2.40"
"quarries","8","NULL","114","4.74"
"quarrying","9","NULL","20","3.00"
"quarryman","9","NULL","3","1.10"
"quarterdeck","11","1","1125","7.03"
"quartered","9","NULL","324","5.78"
"quarterfinals","13","NULL","262","5.57"
"quartering","10","NULL","93","4.53"
"quarterlies","11","NULL","24","3.18"
"quartermasters","14","NULL","17","2.83"
"quarterstaffs","13","NULL","2","0.69"
"quarterstaves","13","NULL","1","0.00"
"quartets","8","NULL","521","6.26"
"quarto","6","1","555","6.32"
"quartos","7","NULL","2","0.69"
"quasars","7","NULL","268","5.59"
"quashes","7","NULL","5","1.61"
"quashing","8","NULL","43","3.76"
"quassia","7","NULL","1","0.00"
"quatercentenaries","17","NULL","0","0.00"
"quatercentenary","15","NULL","0","0.00"
"quatrains","9","NULL","192","5.26"
"quattrocento","12","NULL","1","0.00"
"quaver","6","1","43","3.76"
"quavered","8","NULL","11","2.40"
"quavering","9","NULL","31","3.43"
"quavers","7","NULL","14","2.64"
"quavery","7","NULL","5","1.61"
"quay","4","NULL","1875","7.54"
"quays","5","NULL","22","3.09"
"QUE","3","NULL","150339","11.92"
"quean","5","41","3","1.10"
"queans","6","NULL","0","0.00"
"prizefights","11","NULL","0","0.00"
"prizeman","8","NULL","4","1.39"
"prizemen","8","NULL","0","0.00"
"prizing","7","NULL","5","1.61"
"probables","9","NULL","20","3.00"
"probated","8","NULL","28","3.33"
"probates","8","NULL","2","0.69"
"probating","9","NULL","6","1.79"
"probationers","12","NULL","4","1.39"
"probingly","9","NULL","0","0.00"
"probity","7","1","35","3.56"
"probationer","11","NULL","4","1.39"
"PROBL'Y","7","NULL","4","1.39"
"problematically","15","NULL","5","1.61"
"PROBLY","6","NULL","188","5.24"
"proboscis","9","1","37","3.61"
"proboscises","11","NULL","12","2.48"
"PROCAINE","8","NULL","21","3.04"
"processionals","13","NULL","3","1.10"
"processions","11","NULL","83","4.42"
"proconsul","9","NULL","22","3.09"
"proconsular","11","NULL","0","0.00"
"proconsulate","12","NULL","0","0.00"
"proconsulates","13","NULL","0","0.00"
"proconsuls","10","NULL","0","0.00"
"proconsulship","13","NULL","0","0.00"
"proconsulships","14","NULL","0","0.00"
"procrastinated","14","NULL","32","3.47"
"procrastinates","14","NULL","5","1.61"
"profaned","8","NULL","18","2.89"
"profanely","9","NULL","16","2.77"
"profaneness","11","NULL","0","0.00"
"procrastinating","15","NULL","125","4.83"
"procreated","10","NULL","12","2.48"
"procreates","10","NULL","4","1.39"
"procreating","11","NULL","82","4.41"
"procurators","11","NULL","9","2.20"
"procurers","9","NULL","10","2.30"
"procures","8","NULL","41","3.71"
"procuress","9","NULL","1","0.00"
"procuresses","11","NULL","0","0.00"
"procuring","9","NULL","231","5.44"
"prodigality","11","1","3","1.10"
"PRODIGALL","9","NULL","0","0.00"
"prodigals","9","NULL","13","2.56"
"prodigiously","12","NULL","16","2.77"
"prods","5","NULL","436","6.08"
"PRODUCIN","8","NULL","3","1.10"
"productively","12","NULL","302","5.71"
"productiveness","14","NULL","38","3.64"
"proem","5","1","1","0.00"
"proems","6","NULL","0","0.00"
"profanation","11","1","2","0.69"
"profanations","12","NULL","0","0.00"
"profanes","8","NULL","38","3.64"
"profaning","9","NULL","13","2.56"
"profanities","11","NULL","115","4.74"
"PROFESSEUR","10","NULL","210","5.35"
"professorial","12","1","40","3.69"
"professorially","14","NULL","0","0.00"
"professorships","14","NULL","16","2.77"
"PROFET","6","NULL","11","2.40"
"proffering","10","NULL","25","3.22"
"proffers","8","NULL","27","3.30"
"proficiently","12","NULL","66","4.19"
"profiled","8","NULL","290","5.67"
"PROFILI","7","NULL","2","0.69"
"profiling","9","NULL","508","6.23"
"profiteered","11","NULL","2","0.69"
"profiteering","12","NULL","135","4.91"
"profiteers","10","NULL","95","4.55"
"profiting","9","NULL","228","5.43"
"profitless","10","NULL","38","3.64"
"profitlessly","12","NULL","0","0.00"
"profligacy","10","NULL","21","3.04"
"profligate","10","1","48","3.87"
"profligates","11","NULL","0","0.00"
"PROFOUNDEST","11","NULL","15","2.71"
"PROFOUNDITY","11","NULL","2","0.69"
"profs","5","NULL","712","6.57"
"profundities","12","NULL","11","2.40"
"profuseness","11","NULL","0","0.00"
"PROGANDIST","10","NULL","0","0.00"
"progenitors","11","NULL","98","4.58"
"prognathous","11","1","7","1.95"
"prognosticated","14","NULL","2","0.69"
"prognosticates","14","NULL","0","0.00"
"prognosticating","15","NULL","5","1.61"
"prognostications","16","NULL","49","3.89"
"prognosticators","15","NULL","14","2.64"
"prognostics","11","NULL","3","1.10"
"PROGRAMED","9","NULL","158","5.06"
"PROGRAMING","10","NULL","881","6.78"
"programme","9","1","7075","8.86"
"programmers","11","NULL","19110","9.86"
"progressives","12","NULL","244","5.50"
"PROGRESSIVISM","13","NULL","37","3.61"
"progressiveness","15","NULL","39","3.66"
"prohibitionists","15","NULL","123","4.81"
"prohibitions","12","NULL","573","6.35"
"prohibitively","13","NULL","308","5.73"
"PROHIBITON","10","NULL","13","2.56"
"projectionists","14","NULL","47","3.85"
"PROJECTIVE","10","NULL","174","5.16"
"projectors","10","NULL","494","6.20"
"PROKOFIEFF","10","NULL","7","1.95"
"PROKOFIEFF'S","12","NULL","0","0.00"
"prolapse","8","NULL","78","4.36"
"prolapsed","9","NULL","54","3.99"
"prolapses","9","NULL","8","2.08"
"prolapsing","10","NULL","0","0.00"
"prole","5","NULL","39","3.66"
"prolegomena","11","NULL","13","2.56"
"prolegomenon","12","1","1","0.00"
"proles","6","NULL","62","4.13"
"proletarians","12","NULL","24","3.18"
"proletaries","11","NULL","0","0.00"
"proletary","9","NULL","0","0.00"
"proliferates","12","NULL","30","3.40"
"proliferating","13","NULL","115","4.74"
"proliferations","14","NULL","1","0.00"
"prolifically","12","NULL","78","4.36"
"prolix","6","1","56","4.03"
"prolixity","9","2","10","2.30"
"prologues","9","NULL","4","1.39"
"prolongations","13","NULL","2","0.69"
"PROLUSION","9","NULL","0","0.00"
"PROLUSIONS","10","NULL","0","0.00"
"PROMAZINE","9","NULL","0","0.00"
"promenaded","10","NULL","0","0.00"
"promenader","10","NULL","0","0.00"
"promenaders","11","NULL","1","0.00"
"promenading","11","NULL","3","1.10"
"prominences","11","NULL","8","2.08"
"promiscuously","13","1","26","3.26"
"promiscuousness","15","NULL","3","1.10"
"promisingly","11","NULL","13","2.56"
"promontories","12","NULL","1","0.00"
"promontory","10","1","55","4.01"
"promotions","10","NULL","1576","7.36"
"prompters","9","NULL","28","3.33"
"prompting","9","NULL","767","6.64"
"promptitude","11","1","1","0.00"
"promptness","10","NULL","81","4.39"
"proms","5","NULL","261","5.56"
"promulgated","11","NULL","510","6.23"
"promulgates","11","NULL","35","3.56"
"promulgating","12","NULL","89","4.49"
"promulgation","12","1","80","4.38"
"promulgator","11","NULL","12","2.48"
"promulgators","12","NULL","2","0.69"
"pron","4","NULL","146","4.98"
"proneness","9","NULL","25","3.22"
"pronged","7","NULL","46","3.83"
"pronging","8","NULL","5","1.61"
"prongs","6","NULL","196","5.28"
"pronominally","12","NULL","2","0.69"
"pronounceable","13","NULL","56","4.03"
"pronounces","10","NULL","230","5.44"
"pronunciamento","14","1","32","3.47"
"pronunciamentos","15","NULL","2","0.69"
"pronouncedly","12","NULL","4","1.39"
"pronunciations","14","NULL","336","5.82"
"proofed","7","NULL","64","4.16"
"proofing","8","NULL","298","5.70"
"proofreader","11","NULL","63","4.14"
"proofreaders","12","NULL","79","4.37"
"proofreading","12","NULL","415","6.03"
"proofreads","10","NULL","6","1.79"
"proofs","6","NULL","1943","7.57"
"propagandized","13","NULL","48","3.87"
"propagandizes","13","NULL","3","1.10"
"propagandizing","14","NULL","65","4.17"
"propagates","10","NULL","263","5.57"
"propagating","11","NULL","500","6.21"
"propagator","10","NULL","39","3.66"
"propagators","11","NULL","8","2.08"
"propellant","10","NULL","472","6.16"
"propellants","11","NULL","134","4.90"
"propellers","10","NULL","161","5.08"
"propels","7","NULL","73","4.29"
"propensities","12","NULL","132","4.88"
"propertied","10","1","31","3.43"
"PROPERTIUS","10","NULL","18","2.89"
"prophesying","11","NULL","68","4.22"
"prophetess","10","NULL","218","5.38"
"prophetesses","12","NULL","5","1.61"
"prophetical","11","NULL","9","2.20"
"prophylactically","16","NULL","17","2.83"
"prophylactics","13","NULL","46","3.83"
"prophylaxes","11","NULL","1","0.00"
"prophylaxis","11","NULL","213","5.36"
"propinquity","11","1","21","3.04"
"PROPIONATE","10","NULL","5","1.61"
"propitiate","10","1","25","3.22"
"propitiated","11","NULL","6","1.79"
"propitiates","11","NULL","0","0.00"
"propitiating","12","NULL","5","1.61"
"propitiation","12","NULL","38","3.64"
"propitious","10","2","35","3.56"
"propjet","7","NULL","0","0.00"
"propjets","8","NULL","0","0.00"
"proportioning","13","NULL","56","4.03"
"propitiatory","12","NULL","2","0.69"
"propitiously","12","NULL","0","0.00"
"proportionable","14","NULL","0","0.00"
"proportioned","12","NULL","218","5.38"
"proposer","8","NULL","169","5.13"
"proposers","9","NULL","114","4.74"
"propositional","13","NULL","689","6.54"
"propositioning","14","NULL","15","2.71"
"propound","8","1","48","3.87"
"propounded","10","NULL","145","4.98"
"propounding","11","NULL","13","2.56"
"propounds","9","NULL","19","2.94"
"PROPRIETER","10","NULL","111","4.71"
"proprieties","11","NULL","19","2.94"
"PROPRIETORY","11","NULL","84","4.43"
"proprietress","12","NULL","21","3.04"
"proprietresses","14","NULL","0","0.00"
"propyl","6","NULL","24","3.18"
"PROPYLAEA","9","NULL","1","0.00"
"propylene","9","NULL","91","4.51"
"PROPYLTHIOURACIL","16","NULL","0","0.00"
"prorogation","11","NULL","0","0.00"
"prorogations","12","NULL","0","0.00"
"prorogue","8","1","1","0.00"
"prorogued","9","NULL","4","1.39"
"prorogues","9","NULL","0","0.00"
"proroguing","10","NULL","0","0.00"
"prosaically","11","NULL","2","0.69"
"proscenium","10","1","5","1.61"
"prosceniums","11","NULL","0","0.00"
"proscribes","10","NULL","45","3.81"
"proscribing","11","NULL","23","3.14"
"proscriptions","13","NULL","46","3.83"
"prosecutes","10","NULL","60","4.09"
"proselyte","9","1","11","2.40"
"proselytes","10","NULL","16","2.77"
"proselytize","11","NULL","211","5.35"
"proselytized","12","NULL","27","3.30"
"proselytizer","12","NULL","9","2.20"
"proselytizers","13","NULL","23","3.14"
"proselytizes","12","NULL","6","1.79"
"proses","6","NULL","174","5.16"
"proselytizing","13","NULL","300","5.70"
"prosier","7","NULL","0","0.00"
"prosiest","8","NULL","0","0.00"
"prosily","7","NULL","0","0.00"
"prosiness","9","NULL","0","0.00"
"prosodically","12","NULL","0","0.00"
"PROSODIES","9","NULL","0","0.00"
"PROSOPOPOEIA","12","NULL","2","0.69"
"prospected","10","NULL","6","1.79"
"prospecting","11","NULL","237","5.47"
"prospectors","11","NULL","63","4.14"
"prospectuses","12","NULL","80","4.38"
"prosperously","12","NULL","8","2.08"
"PROSSED","7","NULL","0","0.00"
"PROSSER","7","NULL","117","4.76"
"prostates","9","NULL","16","2.77"
"prostituted","11","NULL","32","3.47"
"prostituting","12","NULL","34","3.53"
"prostrated","10","NULL","50","3.91"
"prostrates","10","NULL","9","2.20"
"prostrating","11","NULL","31","3.43"
"prostrations","12","NULL","88","4.48"
"prosy","5","1","1","0.00"
"protagonists","12","NULL","341","5.83"
"protean","7","NULL","251","5.53"
"PROTEASES","9","NULL","57","4.04"
"protectionists","14","NULL","34","3.53"
"protections","11","NULL","1963","7.58"
"protectiveness","14","NULL","43","3.76"
"protectorates","13","NULL","17","2.83"
"protectors","10","NULL","936","6.84"
"protegees","9","NULL","2","0.69"
"proteges","8","NULL","126","4.84"
"PROTEOLYSIS","11","NULL","16","2.77"
"PROTEOLYTIC","11","NULL","38","3.64"
"protesters","10","NULL","1049","6.96"
"protestingly","12","NULL","0","0.00"
"PROTITCH","8","NULL","0","0.00"
"protocols","9","NULL","10329","9.24"
"PROTOGEOMETRIC","14","NULL","0","0.00"
"prototypes","10","NULL","1685","7.43"
"protozoan","9","1","44","3.78"
"protozoans","10","NULL","23","3.14"
"protozoon","9","NULL","0","0.00"
"protracting","11","NULL","0","0.00"
"protractions","12","NULL","1","0.00"
"protractors","11","NULL","5","1.61"
"protracts","9","NULL","1","0.00"
"protrudes","9","NULL","83","4.42"
"protrusions","11","NULL","50","3.91"
"protrusively","12","NULL","0","0.00"
"protrusiveness","14","NULL","0","0.00"
"protuberances","13","NULL","18","2.89"
"protuberant","11","NULL","17","2.83"
"protuberantly","13","NULL","0","0.00"
"protuberate","11","NULL","0","0.00"
"protuberated","12","NULL","0","0.00"
"protuberates","12","NULL","0","0.00"
"protuberating","13","NULL","0","0.00"
"PROUDHON","8","NULL","268","5.59"
"PROUST","6","NULL","132","4.88"
"provable","8","1","384","5.95"
"provably","8","NULL","182","5.20"
"PROVDIED","8","NULL","4","1.39"
"provender","9","1","4","1.39"
"proverbially","12","NULL","9","2.20"
"providentially","14","NULL","12","2.48"
"providently","11","NULL","5","1.61"
"providers","9","NULL","13964","9.54"
"PROVINCETOWN","12","NULL","63","4.14"
"provincialisms","14","NULL","2","0.69"
"provincially","12","NULL","13","2.56"
"provincials","11","NULL","13","2.56"
"provisionally","13","NULL","151","5.02"
"provisioning","12","NULL","271","5.60"
"PROVISONS","9","NULL","15","2.71"
"provisos","8","NULL","37","3.61"
"PROVOCATEURS","12","NULL","82","4.41"
"provocations","12","NULL","210","5.35"
"provoking","9","NULL","797","6.68"
"provokingly","11","NULL","0","0.00"
"provosts","8","NULL","3","1.10"
"PROWAZWKI","9","NULL","0","0.00"
"prowls","6","NULL","31","3.43"
"prows","5","NULL","1","0.00"
"prox","4","NULL","45","3.81"
"proxies","7","NULL","452","6.11"
"proximally","10","NULL","4","1.39"
"proximately","11","NULL","20","3.00"
"proximo","7","1","428","6.06"
"PROXMIRE","8","NULL","18","2.89"
"pruderies","9","NULL","0","0.00"
"prudery","7","1","21","3.04"
"prudes","6","NULL","65","4.17"
"prudish","7","1","246","5.51"
"prudishly","9","NULL","0","0.00"
"prudishness","11","NULL","12","2.48"
"pruners","7","NULL","6","1.79"
"pruning","7","NULL","540","6.29"
"prurience","9","NULL","15","2.71"
"pruriency","9","NULL","0","0.00"
"prurient","8","1","222","5.40"
"pruriently","10","NULL","9","2.20"
"pruritus","8","NULL","8","2.08"
"prurituses","10","NULL","0","0.00"
"Prussians","9","NULL","109","4.69"
"PRUTA","5","NULL","0","0.00"
"pryingly","8","NULL","1","0.00"
"psalmists","9","NULL","5","1.61"
"psalmodies","10","NULL","0","0.00"
"psalmody","8","NULL","1","0.00"
"psalms","6","NULL","786","6.67"
"Psalter","7","1","32","3.47"
"psalteries","10","NULL","3","1.10"
"psalters","8","NULL","6","1.79"
"psaltery","8","NULL","8","2.08"
"psaltries","9","NULL","9","2.20"
"psaltry","7","NULL","5","1.61"
"psephologist","12","NULL","0","0.00"
"psephologists","13","NULL","0","0.00"
"psephology","10","NULL","0","0.00"
"pseud","5","NULL","25","3.22"
"PSEUDOMONAS","11","NULL","264","5.58"
"pseudonymous","12","NULL","109","4.69"
"pseudonyms","10","NULL","288","5.66"
"PSEUDOPHLOEM","12","NULL","0","0.00"
"pseudos","7","NULL","20","3.00"
"pseuds","6","NULL","3","1.10"
"PSEUDYNOM","9","NULL","0","0.00"
"pshaw","5","NULL","62","4.13"
"PSITHYRUS","9","NULL","0","0.00"
"psittacosis","11","NULL","29","3.37"
"psoriasis","9","NULL","197","5.28"
"psychedelically","15","NULL","2","0.69"
"psychedelics","12","NULL","472","6.16"
"psychiatrically","15","NULL","14","2.64"
"psychics","8","NULL","403","6.00"
"psychoanalysed","14","NULL","2","0.69"
"psychoanalyses","14","NULL","0","0.00"
"psychoanalysing","15","NULL","1","0.00"
"psychoanalysts","14","NULL","44","3.78"
"psychoanalytical","16","NULL","9","2.20"
"psychokinetic","13","NULL","17","2.83"
"practises","9","NULL","266","5.58"
"psychoanalytically","18","NULL","3","1.10"
"PRADO","5","NULL","261","5.56"
"praetor","7","1","1734","7.46"
"praetorian","10","1","13","2.56"
"praetors","8","NULL","11","2.40"
"pragmatical","11","NULL","14","2.64"
"pragmatically","13","NULL","142","4.96"
"pragmatists","11","NULL","75","4.32"
"PRAI","4","NULL","6","1.79"
"prairies","8","NULL","148","5.00"
"PRAISEGOD","9","NULL","0","0.00"
"praiseworthily","14","NULL","0","0.00"
"praiseworthiness","16","NULL","2","0.69"
"pralines","8","NULL","23","3.14"
"pranced","7","NULL","45","3.81"
"prances","7","NULL","22","3.09"
"PRANDTL","7","NULL","11","2.40"
"PRANHA","6","NULL","2","0.69"
"pranksters","10","NULL","111","4.71"
"prat","4","NULL","147","4.99"
"PRATAKKU","8","NULL","0","0.00"
"pratfall","8","1","11","2.40"
"pratfalls","9","NULL","19","2.94"
"prats","5","NULL","68","4.22"
"PRATT","5","NULL","1251","7.13"
"PRATT'S","7","NULL","23","3.14"
"prattled","8","NULL","8","2.08"
"prattler","8","NULL","1","0.00"
"prattlers","9","NULL","0","0.00"
"prattles","8","NULL","22","3.09"
"prattling","9","NULL","64","4.16"
"PRATTVILLE","10","NULL","2","0.69"
"prawned","7","NULL","0","0.00"
"prawning","8","NULL","0","0.00"
"prawns","6","NULL","95","4.55"
"praxis","6","NULL","2628","7.87"
"PRAYIN","6","NULL","24","3.18"
"prays","5","NULL","268","5.59"
"preachified","11","NULL","0","0.00"
"preachifies","11","NULL","0","0.00"
"preachify","9","NULL","4","1.39"
"preachifying","12","NULL","0","0.00"
"prearrangements","15","NULL","0","0.00"
"prearranges","11","NULL","0","0.00"
"prearranging","12","NULL","0","0.00"
"prebend","7","1","3","1.10"
"prebendaries","12","NULL","0","0.00"
"prebendary","10","NULL","0","0.00"
"prebends","8","NULL","0","0.00"
"precedented","11","NULL","3","1.10"
"PRECEEDED","9","NULL","377","5.93"
"PRECEEDING","10","NULL","627","6.44"
"precariousness","14","NULL","8","2.08"
"precentor","9","1","24","3.18"
"precentors","10","NULL","0","0.00"
"preceptors","10","NULL","28","3.33"
"precessional","12","NULL","27","3.30"
"precessions","11","NULL","0","0.00"
"PRECHLORINATION","15","NULL","0","0.00"
"preciosities","12","NULL","0","0.00"
"preciosity","10","1","2","0.69"
"preciously","10","NULL","21","3.04"
"preciousness","12","NULL","11","2.40"
"precipices","10","NULL","5","1.61"
"precipitately","13","NULL","5","1.61"
"precipitates","12","NULL","134","4.90"
"PRECIPITIN","10","NULL","5","1.61"
"precipitously","13","NULL","99","4.60"
"precipitousness","15","NULL","0","0.00"
"precis","6","1","185","5.22"
"precised","8","NULL","3","1.10"
"preciseness","11","NULL","15","2.71"
"precises","8","NULL","9","2.20"
"precising","9","NULL","0","0.00"
"precludes","9","NULL","574","6.35"
"precluding","10","NULL","65","4.17"
"preclusion","10","NULL","5","1.61"
"preclusions","11","NULL","1","0.00"
"precociousness","14","NULL","2","0.69"
"preconceives","12","NULL","0","0.00"
"preconceiving","13","NULL","3","1.10"
"preconcerted","12","NULL","1","0.00"
"precooking","10","NULL","1","0.00"
"precooks","8","NULL","0","0.00"
"precursors","10","NULL","205","5.32"
"predators","9","NULL","1338","7.20"
"predecease","10","1","6","1.79"
"predeceased","11","NULL","10","2.30"
"predeceases","11","NULL","1","0.00"
"predeceasing","12","NULL","0","0.00"
"predestinate","12","1","5","1.61"
"predestinates","13","NULL","0","0.00"
"predestines","11","NULL","8","2.08"
"predestining","12","NULL","1","0.00"
"predestinated","13","NULL","20","3.00"
"predestinating","14","NULL","4","1.39"
"predeterminations","17","NULL","0","0.00"
"predeterminer","13","NULL","0","0.00"
"predeterminers","14","NULL","0","0.00"
